央視頻道,#genre#

CCTV-1,http://39.134.66.110/PLTV/88888888/224/3221225816/index.m3u8
CCTV-1,http://117.136.154.98/PLTV/88888888/224/3221225663/index.m3u8
CCTV-1,http://39.135.238.47:80/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226431/1.m3u8
CCTV-1,http://39.135.238.47:80/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226346/1.m3u8
CCTV-1,http://223.110.235.2/ott.js.chinamobile.com/PLTV/3/224/3221225530/index.m3u8
CCTV-1,http://39.134.134.85/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226226/1.m3u8
CCTV-1,http://223.110.235.2/ott.js.chinamobile.com/PLTV/3/224/3221227375/index.m3u8
CCTV-1,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225726/1/index.m3u8?fmt=ts2hls
CCTV-1,http://223.110.235.2/ott.js.chinamobile.com/PLTV/3/224/3221227675/index.m3u8
CCTV-1,http://58.20.64.92:9999/tsfile/live/0001_1.m3u8
CCTV-1,http://117.148.179.160/PLTV/88888888/224/3221231468/index.m3u8
CCTV-1,http://117.148.179.55/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228809/index.m3u8
CCTV-2,http://223.110.246.67/ott.js.chinamobile.com/PLTV/4/224/3221226993/index.m3u8
CCTV-2,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225706/1/index.m3u8?fmt=ts2hls
CCTV-2,http://223.110.245.148/ott.js.chinamobile.com/PLTV/3/224/3221227543/index.m3u8
CCTV-2,http://58.20.64.92:9999/tsfile/live/0002_1.m3u8
CCTV-2,http://117.148.179.160/PLTV/88888888/224/3221231678/index.m3u8
CCTV-3,http://117.148.179.160/PLTV/88888888/224/3221231682/index.m3u8
CCTV-3,http://39.135.238.47:80/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226471/1.m3u8
CCTV-3,http://223.110.243.158/ott.js.chinamobile.com/PLTV/3/224/3221227295/index.m3u8
CCTV-3,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226008/1/index.m3u8?fmt=ts2hls
CCTV-3,http://223.110.235.2/ott.js.chinamobile.com/PLTV/3/224/3221227650/index.m3u8
CCTV-3,http://58.20.64.92:9999/tsfile/live/0003_1.m3u8
CCTV-4,http://117.136.154.86/PLTV/88888888/224/3221225501/index.m3u8
CCTV-4,http://39.134.134.85/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226335/1.m3u8
CCTV-4,http://39.135.238.47:80/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226470/1.m3u8
CCTV-4,http://117.136.154.98/PLTV/88888888/224/3221225501/index.m3u8
CCTV-4,http://223.110.235.2/ott.js.chinamobile.com/PLTV/3/224/3221227658/index.m3u8
CCTV-4,http://223.110.235.2/ott.js.chinamobile.com/PLTV/3/224/3221227683/index.m3u8
CCTV-4,http://223.110.243.140/ott.js.chinamobile.com/PLTV/3/224/3221225534/index.m3u8
CCTV-4,http://223.110.243.140/ott.js.chinamobile.com/PLTV/3/224/3221227378/index.m3u8
CCTV-4,http://223.110.243.140/ott.js.chinamobile.com/PLTV/3/224/3221227489/index.m3u8
CCTV-4,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225779/1/index.m3u8?fmt=ts2hls
CCTV-4,http://117.148.179.160/PLTV/88888888/224/3221231726/index.m3u8
CCTV-5,http://39.134.134.88:80/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226469/1.m3u8
CCTV-5,http://117.136.154.98/PLTV/88888888/224/3221225780/index.m3u8
CCTV-5,http://223.110.235.2/ott.js.chinamobile.com/PLTV/3/224/3221227661/index.m3u8
CCTV-5,http://223.110.235.2/ott.js.chinamobile.com/PLTV/3/224/3221227686/index.m3u8
CCTV-5,http://223.110.243.158/ott.js.chinamobile.com/PLTV/3/224/3221227478/index.m3u8
CCTV-5,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226024/1/index.m3u8?fmt=ts2hls
CCTV-5,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226043/1/index.m3u8?fmt=ts2hls
CCTV-5,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226248/1/index.m3u8?fmt=ts2hls
CCTV-5,http://39.134.66.110/PLTV/88888888/224/3221225818/index.m3u8
CCTV-5,http://223.110.243.141/ott.js.chinamobile.com/PLTV/3/224/3221227661/index.m3u8
CCTV-5,http://223.110.243.145/ott.js.chinamobile.com/PLTV/3/224/3221227478/index.m3u8
CCTV-5,http://58.20.64.92:9999/tsfile/live/0005_1.m3u8
CCTV-5,http://117.148.179.160/PLTV/88888888/224/3221231702/index.m3u8
CCTV-6,http://39.135.238.47:80/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226468/1.m3u8
CCTV-6,http://223.110.246.67/ott.js.chinamobile.com/PLTV/4/224/3221225548/index.m3u8
CCTV-6,http://223.110.246.67/ott.js.chinamobile.com/PLTV/4/224/3221227209/index.m3u8
CCTV-6,http://223.110.243.145/ott.js.chinamobile.com/PLTV/3/224/3221227581/index.m3u8
CCTV-6,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226011/1/index.m3u8?fmt=ts2hls
CCTV-6,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226046/1/index.m3u8?fmt=ts2hls
CCTV-6,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226250/1/index.m3u8?fmt=ts2hls
CCTV-6,http://223.110.243.158/ott.js.chinamobile.com/PLTV/3/224/3221227664/index.m3u8
CCTV-6,http://58.20.64.92:9999/tsfile/live/0006_1.m3u8
CCTV-6,http://117.148.179.160/PLTV/88888888/224/3221231724/index.m3u8
CCTV-6,http://117.148.179.55/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230685/index.m3u8
CCTV-7,http://39.134.134.85/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226234/1.m3u8
CCTV-7,http://39.135.238.69/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226467/1.m3u8
CCTV-7,http://39.134.66.110/PLTV/88888888/224/3221225671/index.m3u8
CCTV-7,http://58.20.64.92:9999/tsfile/live/0007_1.m3u8
CCTV-7,http://223.110.235.2/ott.js.chinamobile.com/PLTV/3/224/3221227314/index.m3u8
CCTV-7,http://223.110.235.2/ott.js.chinamobile.com/PLTV/3/224/3221227642/index.m3u8
CCTV-7,http://223.110.245.148/ott.js.chinamobile.com/PLTV/3/224/3221225546/index.m3u8
CCTV-7,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225745/1/index.m3u8?fmt=ts2hls
CCTV-7,http://39.134.66.66/PLTV/88888888/224/3221225671/index.m3u8
CCTV-7,http://60.255.49.202/live/CCTV-7H265_4000.m3u8
CCTV-7,http://117.148.179.160/PLTV/88888888/224/3221231633/index.m3u8
CCTV-8,http://39.135.238.47:80/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226485/1.m3u8
CCTV-8,http://223.110.246.67/ott.js.chinamobile.com/PLTV/4/224/3221227205/index.m3u8
CCTV-8,http://58.20.64.92:9999/tsfile/live/0008_1.m3u8
CCTV-8,http://117.148.179.160/PLTV/88888888/224/3221231694/index.m3u8
CCTV-8,http://117.148.179.55/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230737/index.m3u8
CCTV-8,http://223.110.243.164/ott.js.chinamobile.com/PLTV/3/224/3221227667/index.m3u8
CCTV-8,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226005/1/index.m3u8?fmt=ts2hls
CCTV-8,http://223.110.245.158/ott.js.chinamobile.com/PLTV/3/224/3221227750/index.m3u8
CCTV-9,http://117.136.154.98/PLTV/88888888/224/3221225507/index.m3u8
CCTV-9,http://39.134.134.88:80/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226465/1.m3u8
CCTV-9,http://39.134.66.110/PLTV/88888888/224/3221225676/index.m3u8
CCTV-9,http://223.110.246.67/ott.js.chinamobile.com/PLTV/4/224/3221227614/index.m3u8
CCTV-9,http://223.110.243.143/ott.js.chinamobile.com/PLTV/3/224/3221227704/index.m3u8
CCTV-9,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226031/1/index.m3u8?fmt=ts2hls
CCTV-9,http://39.134.134.86:80/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226236/1.m3u8
CCTV-9,http://117.148.179.160/PLTV/88888888/224/3221231697/index.m3u8
CCTV-10,http://39.134.135.126:80/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226227/1.m3u8
CCTV-10,http://39.134.66.110/PLTV/88888888/224/3221225677/index.m3u8
CCTV-10,http://39.135.238.47:80/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226464/1.m3u8
CCTV-10,http://117.136.154.98/PLTV/88888888/224/3221225503/index.m3u8
CCTV-10,http://223.110.243.141/ott.js.chinamobile.com/PLTV/3/224/3221227717/index.m3u8
CCTV-10,http://223.110.246.67/ott.js.chinamobile.com/PLTV/4/224/3221225550/index.m3u8
CCTV-10,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225685/1/index.m3u8?fmt=ts2hls
CCTV-10,http://58.20.64.92:9999/tsfile/live/0010_1.m3u8
